country,description,points,price,province,region_1,variety
US,"Deep aromas of kirsch, ginger snaps and leather show on the nose of this ripe and hearty bottling from a vineyard named for the geographic feature that allows ocean air to cool down this region. Dried cherries, clove and star anise show on the palate, which is framed by firm tannins and cut by a steady but not overpowering acidity.",90,35,California,Temecula Valley,Grenache
US,"Deep black plum aromas are enhanced by soy and crushed graphite on the nose of this bottling. It lands on the palate softly, with tangy plum and turned loam flavors, its tannins sticky and persistent.",87,18,California,Paso Robles,Cabernet Sauvignon
US,"Deep black plum aromas are enhanced by soy and crushed graphite on the nose of this bottling. It lands on the palate softly, with tangy plum and turned loam flavors, its tannins sticky and persistent.",87,18,California,Paso Robles,Cabernet Sauvignon
US,"Deep color and lots of concentration make this full-bodied wine stand out. It has smoky, black-peppery aromas along with ripe but not sweet blackberry and black-cherry flavors. Firm tannins add texture. This boldness needs rich food for a pairing.",90,37,California,Sierra Foothills,Barbera
US,"Deep color and lots of concentration make this full-bodied wine stand out. It has smoky, black-peppery aromas along with ripe but not sweet blackberry and black-cherry flavors. Firm tannins add texture. This boldness needs rich food for a pairing.",90,37,California,Sierra Foothills,Barbera
US,"Deep gold, the color of honey, picked at 53° brix, this is unbelievably dense and concentrated. Yet with the acidity in place, this wine has balance, support, and depth. It's not a fat, sugary blob. This drinks like a Canadian icewine. Honey, tropical fruits, candied orange, butterscotch, butter and toasted nuts—it just keeps on going.",95,85,Washington,Columbia Valley (WA),Riesling
US,"Deep purple, this riveting Malbec melds dark red and blue fruits to the grip and texture of ripe Yakima Valley tannins. Think clean earth lightly dusted with chocolate, and you have the finish. A powerful wine with excellent cellar potential.",92,34,Washington,Yakima Valley,Malbec
US,"Deep ruby pink in color, this wine begins with a nuanced nose, mixing the fun of grape soda with the elegance of purple flowers. On the palate, it's a tad boozy for pink wine, but the flavors of cherry and currant stand out in front of the alcohol. It would make a nice companion for a dish with ample flavors and actual warmth, such as chicken soup or a tuna melt.",88,28,California,Santa Barbara County,Grenache
US,"Deep, dark espresso bean, loam and graphite aromas hide any sense of fruit on the nose of this bottling. The palate offers more ripeness, in the form of black cherry, with an added kick of graphite, but the overall impression is quite simple.",85,19,California,Monterey County,Cabernet Sauvignon
US,"Deeply colored, this bottling shows ripe blackberry pie with caramel, crushed graphite and a touch of mint on the nose. The tannins are soft but provide just enough structure to deliver lavish flavors of black cherry, beef char and cedar.",89,40,California,Paso Robles,Cabernet Sauvignon
US,"Deeply colored, this bottling shows ripe blackberry pie with caramel, crushed graphite and a touch of mint on the nose. The tannins are soft but provide just enough structure to deliver lavish flavors of black cherry, beef char and cedar.",89,40,California,Paso Robles,Cabernet Sauvignon
US,"Deeply impressive on every level, from the profound, inviting aromas of currants and fine oak to the mouthfeel, which is plush and important. Encased in a superb structure of acidity and firm tannins are ripe, complex flavors of currants, violets, olive tapenade and oatmeal raisin cookies. Completely dry, this beautiful wine should age well for six years or more.",94,85,California,Napa Valley,Merlot
US,"Deeply saturated with blackberry and plum flavors, this powerful, boldly structured Merlot balances rich fruit with complex shades of earth and mineral. Umami-rich whiffs of soy sauce and hay linger from nose to finish, hinting towards its development. It's pleasant now, but should meld considerably through 2019.",89,35,New York,"The Hamptons, Long Island",Merlot
US,"Defined by its voluptuous body, this wine is also elegantly accented in salted honey and lemon peel, complex and savory on the palate. The finish is marked by ripe apple and juicy acidity.",90,32,California,Russian River Valley,Chardonnay
US,"Defined by its voluptuous body, this wine is also elegantly accented in salted honey and lemon peel, complex and savory on the palate. The finish is marked by ripe apple and juicy acidity.",90,32,California,Russian River Valley,Chardonnay
US,"Defines Rockpile Zinfandel in intensity of fruit and high alcohol which is in keeping with the volume. There are few red wines in the world like this. It's fully dry, with potent flavors of baked blackberries, blackcurrants, cola and peppery spices, and the tannins are huge, but negotiable. Demands the richest grilled meats and cheeses.",92,39,California,Rockpile,Zinfandel
US,"Defines the Paso Robles style of enormously ripe fruit and softness. Incredibly rich in brown sugar, blackberry jam, chocolate and smoky oak flavors, it's not particularly subtle, but delicious now.",88,75,California,Paso Robles,Cabernet Sauvignon
US,"Defines the Paso Robles style of enormously ripe fruit and softness. Incredibly rich in brown sugar, blackberry jam, chocolate and smoky oak flavors, it's not particularly subtle, but delicious now.",88,75,California,Paso Robles,Cabernet Sauvignon
US,"Defines the yummy-delicious modern style of Napa Cabernet, with wave after wave of sweet blackberry jam, dark chocolate and toasty oak flavors. High alcohol gives it a sting of heat. Feels soft and mellow, like a melted candy bar. Drink soon.",89,125,California,Calistoga,Cabernet Sauvignon
US,"Definitely a step up from the regular Chardonnay; this is more substantial, bringing in some mineral, citrus rind and spice along with apple and pear flavors.",88,10,Washington,Columbia Valley (WA),Chardonnay
US,"Definitely inexpensive, but for a few dollars more, one might find more fruit and texture. This is an earthy, basic quaffer that'll please mostly on price.",83,9,California,Alexander Valley,Cabernet Sauvignon
US,"Definitely on the sugary, sweet side, this Zin also tastes hot and peppery, despite an official alcohol reading of only 14.5%.",81,18,California,Contra Costa County,Zinfandel
US,"Deftly calibrating sultry black fruit against savory earth tones, this blend of Merlot, Cabernet Sauvignon and Cabernet Franc offers refinement. Toast, smoke and bramble integrate amid black plum and cherry flavors. The finish is powerful and persistent, fringed with finely grained tannins.",90,18,New York,New York,Bordeaux-style Red Blend
US,"Delectable notes of pastry spice, blackberry and vanilla unfurl onto the medium-bodied palate, which is bolstered by sinewy tannins and finessed acids.",87,18,Virginia,Virginia,Cabernet Sauvignon
US,"Delicate and poised, this unusual Pinot Gris was fermented half in stainless and half in neutral oak, then kept on the lees for an extended period before bottling. The wine reveals itself gracefully with mixed green apple and white peach; hints of baking spice and a wash of vanilla wafer appear right at the finish line.",88,18,Oregon,Willamette Valley,Pinot Gris
US,"Delicate aromas of lemon blossom, ripe Asian pear and a touch of yellow melon show on the nose of this versatile and tasty bottling. Grippy tension consumes the palate, led by lemon rind, but there's also a richer yellow-apple and pear core as well as a bit of pineapple.",92,25,California,Arroyo Seco,Chardonnay
US,"Delicate blossom and fresh apple notes are pretty on the nose. The palate is a bit bracing by comparison, offering tart lemon-lime flavors and a touch of earthiness on the finish. Drink now.",85,16,New York,Seneca Lake,Riesling
US,"Delicate cherry blossoms and green herbs lend freshness to tart red-cherry notes in this full-bodied yet brisk Cabernet Franc. It's a bit delicate in flavor concentration for it's bold body and alcohol content, but surprisingly refreshing and quaffable.",87,19,New York,Finger Lakes,Cabernet Franc
US,"Delicate cherry blossoms and green herbs lend freshness to tart red-cherry notes in this full-bodied yet brisk Cabernet Franc. It's a bit delicate in flavor concentration for it's bold body and alcohol content, but surprisingly refreshing and quaffable.",87,19,New York,Finger Lakes,Cabernet Franc
US,"Delicate flavors of pressed apples, pears and lemon are accented by exotic hints of spice and potpourri in this dry, single-vineyard Riesling. It's not deeply concentrated, but zesty acidity makes it refreshingly crisp. Drink now–2016.",86,20,New York,Finger Lakes,Riesling
US,"Delicate in aromas of honeysuckle, Asian pear, Gravenstein apple and a smoky butter element, this shows that quality Chardonnay can indeed succeed in this warmer region of Southern California. The wine is also soft and restrained on the sip, with fresh nectarine and white-flower flavors, finishing with a familiar kiss of oak.",90,28,California,Temecula Valley,Chardonnay
US,"Delicate in aromas of honeysuckle, Asian pear, Gravenstein apple and a smoky butter element, this shows that quality Chardonnay can indeed succeed in this warmer region of Southern California. The wine is also soft and restrained on the sip, with fresh nectarine and white-flower flavors, finishing with a familiar kiss of oak.",90,28,California,Temecula Valley,Chardonnay
US,"Delicate lavender and herb notes perfume this pretty off-dry wine. It's delicate in profile, but flavors of tart yellow stone fruit and blossom gain intensity on the palate with a streak of lemon-lime acidity. It concludes with a refreshing mineral tone.",88,18,New York,Finger Lakes,Riesling
US,"Delicate layers of smoke, vanilla and spice lavish this textured Chardonnay that's remarkably light on its feet. Fermentation in a variety of oak barrels lends nuance to bright apple, pear and honeysuckle notes on the palate and mouthfeel that's rich, creamy and round. Brisk acidity cuts through the finish.",91,16,New York,Finger Lakes,Chardonnay
US,"Delicate mineral inflections lend elegance to flavors of pink grapefruit and peach on this sprightly semi-dry Riesling. Sunny with soft, Meyer-lemon acidity, it's a bit dainty on the palate but has enough power to drive a moderately long finish.",87,15,New York,Finger Lakes,Riesling
US,"Delicate notes of bramble and stem waft from nose to finish on this dry, medium-bodied Riesling. Tart lemon and crunchy pear keep the palate quaffable and crisp.",85,14,New York,Finger Lakes,Riesling
US,"Delicate notes of white blossom, Meyer lemon and whiffs of sweet melon and biscuit lend an elegance to this brisk blanc de blancs. A shade juicier than the Brut label, it's softly pétillant, with a distinctly saline minerality on the finish.",88,42,New York,North Fork of Long Island,Chardonnay
US,"Delicate swathes of honey brighten savory chestnut, smoke and mineral tones throughout this feather-light dry Riesling. It's an earthier slightly darker expression of Riesling with electric acidity accenting hints of spice and dusty pollen. The finish is long and intently smoky.",89,22,New York,Finger Lakes,Riesling
US,"Delicate white peach and pear notes perfume this dry, crisply fruity wine. There's a satisfying weightiness to the palate, but tart lemon notes keep it zesty and spry.",88,20,New York,North Fork of Long Island,Pinot Gris
US,"Delicate white peach and pear notes perfume this dry, crisply fruity wine. There's a satisfying weightiness to the palate, but tart lemon notes keep it zesty and spry.",88,20,New York,North Fork of Long Island,Pinot Gris
US,"Delicious and crisp in acidity, this is dry despite its flavors of honey and ripe, jammy tropical fruit. How this wine achieves such a quality is magic, but the brisk acidity helps, as does its stony minerality. Ready to enjoy now.",92,32,California,Santa Maria Valley,Chardonnay
US,"Delicious and easy to drink, the wine carries rich, ripe flavors of raspberries, strawberries, cherries, brown sugar, vanilla and toast. At the equivalent of $5.75 for a regular bottle, it's a great value.",87,23,California,California,Shiraz
US,"Delicious and easy to drink, the wine carries rich, ripe flavors of raspberries, strawberries, cherries, brown sugar, vanilla and toast. At the equivalent of $5.75 for a regular bottle, it's a great value.",87,23,California,California,Shiraz
US,"Delicious and sweet in caramel, vanilla, pineapple jam, tangerine, lime and butterscotch flavors, this dramatic Chardonnay is made to drink now.",87,30,California,Russian River Valley,Chardonnay
US,"Delicious, rich black cherry aromas lead to a very firm and moderately tannic texture and medium to full body that frames abundant fruit flavors. It's mouthwatering, intense and complex, but is still wound up tight, so it's best to drink after 2016.",90,32,California,Livermore Valley,Cabernet Franc
US,"Deliciously crisp, this is full of citrus and fig, medium in body and high-strung in acidity. Dry, crisp and balanced, it's focused and linearly conceived. An enjoyable glass from start to finish at an unbelievably fair price.",88,14,California,Mendocino County,Sauvignon Blanc
US,"Deliciously fruity but also well-structured, this full-bodied wine has excellent concentration and good balance. Effusive aromas of blueberry and black cherry lead to opulent but not overripe berry flavors that are lightly accented by clove and cinnamon nuances.",91,36,California,Calaveras County,Grenache
US,"Delivers Zin's briary, brambly wild berry flavors with the punch of high alcohol, which gives the wine a sweet, hot finish. You should know also that the tannins are hard. Rustic, but clean and drinkable with everyday fare.",84,15,California,Dry Creek Valley,Zinfandel
US,"Dense and briary, with black and red plum notes complemented by a strong sense of clove, this wine is cushioned in tar, oak and cigar box, showing nicely resolved tannins. Blended with 16% Merlot, 4% Cabernet Franc and 2% Petit Verdot, it is enjoyable now and will cellar well for many years to come.",90,80,California,Stags Leap District,Cabernet Sauvignon
US,"Dense and concentrated aromas of frozen strawberries, blackberry pie, black cherries and vanilla sauce properly predict a very rich wine. Once sipped, the wine is quite thick, with lots of mint, fudge and brown spice, proving quite tasty although not quite varietally familiar.",88,40,California,Paso Robles,Grenache
US,"Dense and luxurious aromas of oak-laden red currants, blueberry, peppercorns and melted dark chocolate greet the nose on this hearty bottling. The flavors are lighter than the nose suggests, yet the silky texture evolves quickly to deliver plenty of espresso bean, vanilla, blueberry and blackberry elements, all clinging to a strong tannic structure.",92,25,California,Paso Robles,Merlot
US,"Dense aromas consume the nose of this bottling, showing orange liqueur, apple juice and concentrated lemon syrup. The palate is nicely sharp in mouthwatering acidity, offering juicy stone-fruit flavors.",87,30,California,Santa Clara Valley,Chardonnay
US,"Dense aromas of prunes, black plums, tobacco and vanilla bean mark the nose of this SoCal bottling. It's plump with rustic elderberry fruit at first sip, then tightens down around a black rock core, also showing smoked cedar and white pepper.",87,36,California,Temecula Valley,Montepulciano
US,"Dense, dark and lush, an extracted wine made from very ripe grapes that brim with dark berry and black stone fruit flavors. Big in the mouth, with dense, creamy tannins. Has the exuberance of youth, and best to lay away for a few years to develop further complexity.",89,38,California,Napa Valley,Merlot
US,"Dense, intense, concentrated and young, this wine is one for the cellar. It has tight aromas of cranberry, dried cherry and cardamom, while flavors offer ripe fruit character and a firm texture of fine-grained tannins. It should gain more complexity and smoothness after 2022.",94,95,California,Howell Mountain,Cabernet Sauvignon
US,"Dense, layered and juicy, this has a good concentration of bright blackberry flavor. The small amounts of Primitivo and Barbera are subtly apparent. With a snap of chocolate on the finish, it's well rounded.",87,18,California,Sierra Foothills,Zinfandel
US,"Densely extracted, this larger production wine succeeds in keeping things simple and approachable, its midpalate juicy and round, with accents of graphite, compost, leather, black currant and berry.",88,19,California,Sonoma County,Cabernet Sauvignon
US,"Densely packed black fruit seasoned with cola and clove defines this robust, full-bodied, mountain wine blended with 8% Malbec. Spicy acidity keeps it fresh and lively in the glass, adding complexity.",93,125,California,Napa Valley,Cabernet Sauvignon
US,"Despite an official alcohol level of 14.2% by volume, this Cab is so hot and overripe, it tastes like brandy. It's all about raisins, oranges, oak and acidity.",81,32,California,Paso Robles,Cabernet Sauvignon
US,"Despite coming from a warm vintage, this appealing, well-priced wine has plenty of acid to go with its sleek yet ripe fruit. The fresh herb and cherry aromas and flavors distinctly announce it as Cabernet, with smoke on the finish.",89,25,Washington,Yakima Valley,Cabernet Sauvignon
US,"Despite coming from the warmest vintage on record for the state, this wine displays a very pleasing sense of restraint. Aromas of straw, clarified butter and peach are followed by well-balanced, textured fruit flavors. An elegant styling only heightens the appeal.",90,30,Washington,Columbia Valley (WA),Chardonnay
US,"Despite its light-as-a-feather demeanor, a crush of bright red cherry and cranberry flavors pulsate from this dazzling Cabernet Franc. It's refreshingly thirst quenching, yet elegant enough to savor through a long, herb and bramble-toned finish. Drink now through 2016.",91,19,New York,Finger Lakes,Cabernet Franc
US,"Despite its moderate alcohol, this dry, full-bodied Pinot Gris feels quite plush and plump. Ripe white peach and apricot flavors are honeyed in tone, off set by fresh acidity and a slightly steely finish.",88,15,New York,Finger Lakes,Pinot Gris
US,"Despite its youth, this wine seems dried-out with aromas and flavors of medicine cabinet, leather and raisinated black and blue fruit. Drink now.",84,17,Washington,Columbia Gorge (WA),Cabernet Sauvignon
US,"Despite lots of ripe black cherry, blueberry and plum flavors, this is a fairly rustic wine, with some edgy tannins making it feel prickly. A bit sweet, it will pair up with Mexican beef and pork dishes.",85,28,California,Santa Ynez Valley,Cabernet Sauvignon
US,"Despite some hard tannins, this is an approachable wine for drinking now with barbecue, roasts and cheeses. Blended with Merlot, Syrah, Petite Sirah and Cabernet Franc, it's ripe and fruity, with meat and pepper notes.",87,45,California,Napa Valley,Cabernet Sauvignon
US,"Despite some well-ripened red and black currant, licorice and cola flavors, this dry Zin has a bitterness in the finish that gives it a bit of a rustic feel. Drink now.",84,27,California,Russian River Valley,Zinfandel
US,"Despite the challenging harvest, this Cabernet excels in juicy blueberry and plum tones. Dusted with cinnamon on the finish, it shows a level-headed use of oak, imparting a soft, expressive texture marked by acidity. Enjoy now or cellar through 2026.",92,65,California,Napa Valley,Cabernet Sauvignon
US,"Despite the grim reference to the hooded guy with the scythe, this is a lively Cabernet, that's rich and tasty in flavor. At nearly four years of age, it's ready to drink now, with soft tannins framing blackberry, mocha and oak flavors.",88,30,California,Chalk Hill,Cabernet Sauvignon
US,"Despite the late harvest label, this is not a dessert wine. It's been fermented to near-dryness, and the late-picked fruit has resulted in quite high alcohol. It's an odd duck, but tasty with an appealing lemon-drop candy flavor.",88,20,Oregon,Willamette Valley,Viognier
US,"Despite the late harvest label, this is not a dessert wine. It's been fermented to near-dryness, and the late-picked fruit has resulted in quite high alcohol. It's an odd duck, but tasty with an appealing lemon-drop candy flavor.",88,20,Oregon,Willamette Valley,Viognier
US,"Despite the relatively low alcohol, this wine is fleshy and unctuous, thick in tropical pineapple and mango with an undercurrent of caramel vanilla.",85,20,California,Dry Creek Valley,Sauvignon Blanc
US,"Despite the silly name, this is a deeply impressive, but very young, Cabernet-based Bordeaux blend. It needs time in the cellar. It practically oozes ripe, pie-filling blackberries and cherries as well as sweet, smoky new oak. It's all primary flavor now, but very balanced, and should come into its own after 2010.",93,125,California,Oakville,Bordeaux-style Red Blend
US,"Despite the trend for dry rosé, there's something to be said for a bright, berried sip accentuated by balanced sweetness. This wine hits just that spot of pristine, delicately sweet cherry flavor juxtaposed with zesty acidity and a spry, mineral feel.",89,18,New York,North Fork of Long Island,Merlot
US,"Dijon clone again. This has just the vaguest hint of onion, but otherwise is much improved over this property's '99. There is good, juicy, crisp fruit mixing apple/apricot and light citrus. Balanced acids and a well integrated middle that leads into a somewhat hot, stiff finish. Young and edgy, but well made.",88,35,Oregon,Willamette Valley,Chardonnay
US,"Diminished white-apricot and apple-like aromas lead to a yielding, medium-weight palate, which comes with a sense of flesh and a hint of pastry shell.",85,18,Virginia,Shenandoah Valley,Chardonnay
US,"Direct and appealing with notes of dried herbs, cherry, and toast. It's broad in feel with good depth and structure with dry tannins the only thing holding it back.",89,25,Washington,Horse Heaven Hills,Merlot
US,"Direct and easygoing, this Zinfandel tastes of blackberry, bacon, clove and pepper. The oak is tame, and the wine is ready to drink.",87,16,California,Lodi,Zinfandel
US,"Direct and thin, this Merlot has simple currant, cocoa, licorice and oakspice flavors that finish totally dry.",83,20,California,Livermore Valley,Merlot
US,"Director's sources from vineyards across the county to offer an intensity of fruit flavor that tends lush and ripe. Melon and vanilla appear on the nose and palate, with a side tone of pineapple, nutmeg and even clove, finishing clean and with simplicity.",87,17,California,Sonoma County,Chardonnay
US,"Discovery Vineyard Cab makes up most of this wine, with just a splash of Champoux vineyard Franc to fill it out. Very pretty, very focused aromas of spice box, red and black fruit and herb are followed by a fruit-forward, shamelessly appealing yet still elegant, balanced palate that puts a premium on purity, with a well integrated structure surrounding it all.",93,75,Washington,Horse Heaven Hills,Cabernet Sauvignon
US,"Disgorged in April 2014 four years after harvesting French Colombard from a single vineyard, this méthode champenoise wine is slightly odd in sour lemon and apple, unsure how far to take its acidity. It's a curiosity worth trying, but it won't be for everyone.",85,42,California,Russian River Valley,Colombard
US,"Distinctive as always, this is another powerful Zinfandel from Martini, which has a long history with this mountain vineyard. The cool 2010 vintage was kind, bringing the wine to its usual high-alcohol superripeness, yet maintaining vital acidity. Notes of raisins, blackberry jam and chocolate are all found in this heady, Porty wine. Drink now with rich barbecue and stews.",89,50,California,Sonoma Valley,Zinfandel
US,"Distinctive citrus and wild sage aromas and a dazzlingly crisp balance characterize this wine. Clean, bracing fruit flavors linger on the lively finish. Grown in a small organic vineyard, this brings authenticity at a very reasonable price.",90,16,California,Potter Valley,Pinot Gris
US,"Distinctly sugary, which gives the blackberries and cherries a jammy sweetness. But it's clean and crisp. For those who like this style, it's pretty good.",84,15,California,Lake County,Bordeaux-style Red Blend
US,"Distinctly sugary, which gives the blackberries and cherries a jammy sweetness. But it's clean and crisp. For those who like this style, it's pretty good.",84,15,California,Lake County,Bordeaux-style Red Blend
US,"Does a great job at providing identity to this variety that can often seem a bit muddled. With the structure of a fine Cabernet Sauvignon, it's softer, with more of a red fruit and red currant taste. Feels elegant and distinguished from beginning to end. Drink now.",91,28,California,Sonoma County,Merlot
US,"Doesn't have quite the concentration of many more expensive Merlots, but fills a nice niche in an affordable red wine that's full-bodied, dry and elegant. Offers pleasant flavors of cherries, red currants, cola and oak.",85,10,California,California,Merlot
US,"Doesn't have quite the sheer ravishing power of the winery's Trace Ridge Cabernet, but this Cab-based Bordeaux blend is nuanced and possibly more complex and Bordeaux-like. The flavors are of currants, blackberries, cherries, anise and cedar, aged in 78% new French oak. Give it until 2011 to mellow.",92,75,California,Knights Valley,Bordeaux-style Red Blend
US,"Doesn't seem to have much, if any, oak on it, but it doesn't matter, because the underlying wine is so good, at such a nice price. Crisp and steely, it shows rich flavors of pineapples, apricots, tangerines and pears.",87,13,California,Sonoma County,Chardonnay
US,"Dolan continues to produce stellar whites and reds from organically grown grapes in Mendocino County. This Chardonnay is ripe and full of minerality, a liquid form of crisp apple with vanilla on the finish.",88,18,California,Mendocino County,Chardonnay
US,"Domaine Drouhin's reserve-level Chardonnay puts new oak flavors front and center but backs them up with ultraripe fruit. A lush mix of tangerine, melon and peach notes combine, expanding across the palate. It's drinking quite well already but should continue improve through 2024.",94,65,Oregon,Dundee Hills,Chardonnay
US,"Don Lorenzi is making a strong case for growing cool climate-loving Chardonnay in the hot Temecula Valley. This clonal study delivers honeysuckle, marzipan and lemon curd aromas, while the palate offers richer notes of buttered apple and poached pear. Although ripe in style, it's cut by a zesty lemon-like acidity.",90,35,California,Temecula Valley,Chardonnay
US,"Don’t look for Napa-esque depth or richness in South Coast Cabs. The frame is leaner, the flavors more austere. This wine seems thin and sharp, but there’s something about it—a sense of terroir, personality, call it what you will—that’s likable, even complex. It’s a bit aggressive right now, but should soften nicely with 2 or 3 years in the cellar.",86,18,California,Santa Ynez Valley,Cabernet Sauvignon
US,"Done in a medium-dry style, this shows petrol, lime pith, lime blossoms and wet cement on the nose. The palate is rich with squeezed lemon juice, shaved citrus ice, ripe pears and a stony grip that holds it all together.",89,23,California,Santa Lucia Highlands,Riesling
US,"Done in a ripe and fleshy style, this vintage is in its prime drinking window. Mixed peach, lemon, stone and citrus fruit, along with a slice of honeydew melon, make this a mouth-filling, all-purpose Riesling, with barely perceptible sweetness.",88,13,Oregon,Oregon,Riesling
US,"Don't be fooled by the low alcohol—this is fully ripened, finished, dry yet packed with delicious pear fruit flavors. Light suggestions of grapefruit and green apple add interest, and the fullness and freshness of the fruit is most impressive.",91,18,Oregon,Oregon,Pinot Gris
US,"Don't be misled by the low alcohol; there's more than a smidgen of residual sugar in this wine. It works to good effect, adding richness to the fruit and roundness to the mouthfeel. Pear, peach and apricot flavors fill the palate, with generous streaks of honey and tea adding further complexity.",91,18,Oregon,Willamette Valley,Pinot Gris
US,Don't come looking for your light and fruity Grenache—the 15.2% alcohol lets you feel the fire pumping through the veins of this deeply ripe and potent wine. In a blind tasting you might easily think it was a Zin rather than a Washington Grenache.,88,39,Washington,Columbia Valley (WA),Grenache
US,"Don't let the generic California appellation fool you, this is a distinctive Chardonnay. It has subtle flavors of pear and toasted oak, and shows a sophisticated and restrained style, with a vibrant fruit core and good balance. Though medium bodied, it plays crisp acidity off a lush texture and lingers on the finish.",90,25,California,California,Chardonnay
US,"Don't let the label mislead you; this is not a dessert wine. It's off-dry, with a pretty suite of lemon, orange and citrus peel flavors. A whiff of tea runs through the aromas, and a bit of lemon oil in the finish.",88,11,Washington,Columbia Valley (WA),Riesling
US,"Don't let the playful label fool you, this is an impressive, dry wine. Big, very ripe and fruity, it also has a good grippy texture due to firm tannins and acidity that make it appetizing. The color is quite dark, and the black cherry, blackberry and raspberry flavors run deep.",90,25,California,El Dorado,Bordeaux-style Red Blend
US,"Don't let the price tag fool you; this is a sophisticated blend with Merlot, Cab Franc, Malbec and Syrah comprising a quarter of the total. Aromatic and inviting, it brings spicy berry, red currant and Bing cherry fruit into play. Chewy tannins carry a hint of herb, and the presence of new oak is minimal at best. Just a hint of chocolate malt hits in the finish.",87,16,Washington,Columbia Valley (WA),Cabernet Sauvignon
US,"Don't let the rather light red color fool you. This is an assertive Zinfandel with an edgy, oaky, smoky character in the aroma and the flavor. It blends powerful, sweet-seeming oak notes with attractive cherry and raspberry flavors, and is very full-bodied.",87,21,California,Lodi,Zinfandel
US,"Don't look for density or any particular varietal focus here, but what you will find is a pleasing, soft, smooth wine with black cherry, licorice, smoke and chocolate. It's all front-loaded and fruit-driven, but if you want something to enjoy right now, preferably outdoors, with some butterfat in the soft, pliable tannins, this wine will deliver the goods.",87,28,Oregon,Rogue Valley,Merlot
US,"Doug Margerum delivers his annual crowd-pleaser with this bottling, which evokes ripe apple, sweet stone fruit and grapefruit pith on the nose. Chalky texture and racy acidity mark the palate, providing the perfect framework for sour kumquat flavors and a cement-like minerality.",88,21,California,Happy Canyon of Santa Barbara,Sauvignon Blanc
US,"Dramatic oaky aromas and flavors, like nutmeg, butter and vanilla, create an attention-grabbing profile in this full-bodied, moderately tannic wine. It has solid fruit as well, but that character plays second fiddle.",87,22,California,Lake County,Zinfandel
US,"Dramatically rich and full-bodied in blackberry, cassis, dark chocolate and oak flavors. With thick, fine tannins giving it a youthful astringency, this Bordeaux blend needs to be cellared. Should develop bottle notes over the next ten years.",91,85,California,Alexander Valley,Bordeaux-style Red Blend
US,"Dramatically rich and ripe, a bells and whistles Chardonnay made in the white Burgundy style. It's flamboyant in pineapple, nectarine, guava and oak- and lees-influenced buttered toast, cream and vanilla crème brûlée, but it's also very acidic and dry, which provides balance and elegance. Fine now and for 3 or 4 years.",94,40,California,Russian River Valley,Chardonnay
US,"Dramatically rich and ripe, a bells and whistles Chardonnay made in the white Burgundy style. It's flamboyant in pineapple, nectarine, guava and oak- and lees-influenced buttered toast, cream and vanilla crème brûlée, but it's also very acidic and dry, which provides balance and elegance. Fine now and for 3 or 4 years.",94,40,California,Russian River Valley,Chardonnay
US,"Dramatically rich and structured, this mountain blend of Bordeaux varieties needs time in the cellar. Right now, it's tannic and astringent, with youthful flavors of blackberries, minerals and smoky new oak. But it's a very fine wine that should hold and mellow through 2014.",93,75,California,Spring Mountain District,Bordeaux-style Red Blend
US,"Drenched with luscious grapey flavors, this medium-bodied wine soothes the palate. Its texture is smooth and carries the fruitiness through the aftertaste.",87,20,California,Mendocino,Cabernet Sauvignon
US,"Dried apple and caramel scents lead the nose of this wine, building toward a bigger presence of tannin and oak and meeting a stony acidity and sour lemon tartness along the way.",86,50,California,Bennett Valley,Chardonnay
US,"Dried apple and pear aromas meet with touches of oak, macadamia nut and wet cement on the nose of this bottling. Similar dried apple and pear flavors show on the palate, which is lifted by citrus pith and a touch of smoke on the finish.",87,14,California,Monterey,Chardonnay
US,"Dried apple and salted almond aromas show on the nose of this bottling from a winery started in 1987. There is a flinty character to the sip, alongside squeezed lime and baked apple, with a light smokiness noticeable throughout.",89,28,California,Santa Cruz Mountains,Chardonnay
US,"Dried apple peels, squeezed nectarines, creamy cherimoya and quinine combine on this fresh and salty nose from winemaker Steve Fennell. A pine nut warmth opens the palate, followed by an array of exotic flavors like lychee, lemongrass and kiwi, plus some citrusy cider and salt. It's broad enough to appeal to the masses, but retains enough acidity for refined palates.",93,55,California,Sta. Rita Hills,Chardonnay
US,"Dried apricot, citrus and brown sugar aromas provide allure. The flavors are sweet but never over the top, showing good balance except for the alcohol, which pokes through on the finish.",89,25,Idaho,Idaho,Riesling
US,"Dried apricot, citrus and brown sugar aromas provide allure. The flavors are sweet but never over the top, showing good balance except for the alcohol, which pokes through on the finish.",89,25,Idaho,Idaho,Riesling
US,"Dried apricot, jasmine, flower, herb and peach aromas are followed by medium, sweet fruit flavors that can't quite sustain their intensity but still bring appeal.",86,10,Washington,Washington,Riesling
US,"Dried berry, plum skin, peppercorn and beef jerky scents show on the nose of this bottling from a large vineyard east of Paso Robles. Woody cedar and pine flavors show on the palate, giving nuance to the floral elderberry jam and leather touches.",87,48,California,Paso Robles,Cabernet Sauvignon
US,"Dried black cherries, dried herbs, pencil shavings and touches of roasted meat and balsamic vinegar show on the nose of this bottling. The sip conveys smoked berries, dried strawberry, red plum and touches of oregano, marjoram and black pepper.",86,21,California,Paso Robles,Cabernet Sauvignon
